#TYPE System.Management.Automation.PSCustomObject
"Low","High","LBin","HBin","LDec","HDec"
"46.20.0.0","46.20.15.255","00101110000101000000000000000000","00101110000101000000111111111111","773062656","773066751"
"46.20.144.0","46.20.159.255","00101110000101001001000000000000","00101110000101001001111111111111","773099520","773103615"
"46.28.75.0","46.28.79.255","00101110000111000100101100000000","00101110000111000100111111111111","773606144","773607423"
"46.28.232.0","46.28.239.255","00101110000111001110100000000000","00101110000111001110111111111111","773646336","773648383"
"46.30.176.0","46.30.183.255","00101110000111101011000000000000","00101110000111101011011111111111","773763072","773765119"
"46.31.112.0","46.31.119.255","00101110000111110111000000000000","00101110000111110111011111111111","773812224","773814271"
"46.31.144.0","46.31.151.255","00101110000111111001000000000000","00101110000111111001011111111111","773820416","773822463"
"46.34.64.0","46.34.64.255","00101110001000100100000000000000","00101110001000100100000011111111","773996544","773996799"
"46.34.90.0","46.34.91.255","00101110001000100101101000000000","00101110001000100101101111111111","774003200","774003711"
"46.45.128.0","46.45.191.255","00101110001011011000000000000000","00101110001011011011111111111111","774733824","774750207"
"46.102.106.0","46.102.106.255","00101110011001100110101000000000","00101110011001100110101011111111","778463744","778463999"
"46.104.0.0","46.104.255.255","00101110011010000000000000000000","00101110011010001111111111111111","778567680","778633215"
"46.106.0.0","46.106.255.255","00101110011010100000000000000000","00101110011010101111111111111111","778698752","778764287"
"46.149.160.0","46.149.163.255","00101110100101011010000000000000","00101110100101011010001111111111","781557760","781558783"
"46.154.0.0","46.155.255.255","00101110100110100000000000000000","00101110100110111111111111111111","781844480","781975551"
"46.182.64.0","46.182.71.255","00101110101101100100000000000000","00101110101101100100011111111111","783695872","783697919"
"46.196.0.0","46.197.255.255","00101110110001000000000000000000","00101110110001011111111111111111","784596992","784728063"
"46.221.0.0","46.221.255.255","00101110110111010000000000000000","00101110110111011111111111111111","786235392","786300927"
"46.234.0.0","46.234.31.255","00101110111010100000000000000000","00101110111010100001111111111111","787087360","787095551"
"46.235.8.0","46.235.15.255","00101110111010110000100000000000","00101110111010110000111111111111","787154944","787156991"
"46.245.160.0","46.245.167.255","00101110111101011010000000000000","00101110111101011010011111111111","787849216","787851263"
"46.252.96.0","46.252.108.7","00101110111111000110000000000000","00101110111111000110110000000111","788291584","788294663"
"46.252.108.12","46.252.108.75","00101110111111000110110000001100","00101110111111000110110001001011","788294668","788294731"
"46.252.108.80","46.252.108.139","00101110111111000110110001010000","00101110111111000110110010001011","788294736","788294795"
"46.252.108.144","46.252.108.167","00101110111111000110110010010000","00101110111111000110110010100111","788294800","788294823"
"46.252.108.172","46.252.108.215","00101110111111000110110010101100","00101110111111000110110011010111","788294828","788294871"
"46.252.108.220","46.252.111.255","00101110111111000110110011011100","00101110111111000110111111111111","788294876","788295679"
"46.254.48.0","46.254.55.255","00101110111111100011000000000000","00101110111111100011011111111111","788410368","788412415"
"57.90.240.0","57.90.255.255","00111001010110101111000000000000","00111001010110101111111111111111","962260992","962265087"
"57.94.128.0","57.94.143.255","00111001010111101000000000000000","00111001010111101000111111111111","962494464","962498559"
"62.29.0.0","62.29.127.255","00111110000111010000000000000000","00111110000111010111111111111111","1042087936","1042120703"
"62.108.64.0","62.108.95.255","00111110011011000100000000000000","00111110011011000101111111111111","1047281664","1047289855"
"62.133.44.0","62.133.47.255","00111110100001010010110000000000","00111110100001010010111111111111","1048914944","1048915967"
"62.182.32.0","62.182.35.255","00111110101101100010000000000000","00111110101101100010001111111111","1052123136","1052124159"
